datetime,headline,sentiment
2003-11-26,3 yrs ago; another doc started it all,0.0
2003-11-27,IT probe into doc's wealth,0.4939
2003-11-28,Modi indulges in Sonia-bashing again,0.0
2003-11-29,Look who's asking for your vote,0.0
2003-11-30,Eid bonanza for border residents,0.0
2003-12-01,After polls; focus on Pakistan,0.0
2003-12-02,Kalam changes schedule to vote,0.0
2003-12-03,Parliament remembers Murasoli; adjourns,0.0
2003-12-04,Indian delegation to test waters in Iraq,0.0
2003-12-05,PM rules out early polls,0.0
2003-12-06,Hotelier cheats banks for Mercs; held,-0.4215
2003-12-07,BJP does a Judeo on Ajit Jogi,0.0
2003-12-08,Policemen at BSNL's service in Orissa,0.0
2003-12-09,Theatre of the absurd,0.0
2003-12-10,US general to attend Uday's funeral,-0.3612
2003-12-11,Upbeat BJP sets its eyes on UP; Bihar,0.0
2003-12-12,Govt okays draft anti-defection bill,0.4767
2003-12-13,Najma stages a walkout from House,-0.3182
2003-12-14,IRDA for raising foreign equity cap in insurance,0.0
2003-12-15,Like China; India needs to wait for a UNSC seat,0.3612
2003-12-16,Uma Bharti to face court on Feb 9,0.0
2003-12-17,PM: Jogi; Judeo episodes disgrace to democracy,-0.4939
2003-12-18,Militants abduct four in J&K; kill one,-0.6908
2003-12-19,Sena digs up pitch to foil Indo-Pak match,0.0
2003-12-20,Madhumita case: Tripathi; wife chargesheeted,0.0
2003-12-21,Assam bandh hits life,0.0
2003-12-22,Don has printing press in Pak,0.0
2003-12-23,Narasimha acquitted in Lakhubhai case,0.25
2003-12-24,Bhujbal finds excuse; resigns,-0.25
2003-12-25,30 camps cleared; says Bhutan,0.1027
2003-12-26,Cold wave continues; it's sub-zero in Churu,0.0
2003-12-27,Indian militants shifting base to Bangladesh,0.0
2003-12-28,Aligarh Muslim Univ ignores UGC,-0.2732
2003-12-29,Disasters cost $60 bn this year,-0.5574
2003-12-30,Patna petrol dealers protest against murder,-0.7717
2003-12-31,IC-814 hijacking: FBI team to visit India,0.0
2004-01-01,Yasin's plea to PM; Pak,0.0
2004-01-02,India surging ahead; says Deputy PM,0.0
2004-01-03,Congress sees red as NCP eyes saffron,0.0
2004-01-04,Mopping up operations on in Bhutan; camps burnt,0.0
2004-01-05,Weak Third Front will help BJP: V P Singh,-0.0516
2004-01-06,PDP hails PM; wants progress,0.4215
2004-01-07,Height of indifference,-0.0516
2004-01-08,Sangh outfit demands central rule in Gujarat,0.0
2004-01-09,Over 450 Mumbai cops HIV infected: Police,-0.4939
2004-01-10,Jogi files writ plea to quash FIR,0.0
2004-01-11,Younger Gandhis: Will or will they not join politics?,-0.2235
2004-01-12,Nissim; the master of many arts,0.0
2004-01-13,BJP declares war; allies scramble,-0.5994
2004-01-14,India; Bahrain ink extradition treaty,0.0
2004-01-15,VC Shukla joins the Sangma camp,0.0
2004-01-16,Pawar's tea with Sonia a success,0.5719
2004-01-17,Don't panic; there's enough onion: Govt,0.4023
2004-01-18,NCW begins probe into rape case,-0.6908
2004-01-19,Is the law being fair to the rich and famous?,0.7096
2004-01-20,Shahabuddin granted bail,0.25
2004-01-21,The Gorshkov is coming; at $1.5 bn,0.0
2004-01-22,Priyanka shops for pins; popularity,0.4767
2004-01-23,Uma gets 9 women to head police stations,0.0
2004-01-24,Cong by birth; BJP by choice?,0.0
2004-01-25,Bhuj quake got them married,0.0
2004-01-26,Women can have enormous power: Melinda Gates,0.0
2004-01-27,Politics of blackmail to the fore in UP,0.0
2004-01-28,Oil tanker overturns; catches fire,-0.34
2004-01-29,Dynasty: All are guilty; more or less,-0.4215
2004-01-30,Cong 'fails good' in poll survey,0.0258
2004-01-31,Don't arrest Maya in Taj scam: Govt to CBI,-0.3948
2004-02-01,Pump it in Amethi; flex it in A'bad,0.0
2004-02-02,Advani hails Atal; Jaya's leadership,0.0
2004-02-03,Highway projects being completed very fast: PM,0.0
2004-02-04,Oppn attacks budget; yet wants more sops,-0.4404
2004-02-05,Jaswant goes back to the tax future,0.0
2004-02-06,Disgrace; leave us alone: IIMs,-0.6597
2004-02-07,Cong dismisses V P Singh's make-up bid,0.0
2004-02-08,Come May; no fags for schoolkids,-0.296
2004-02-09,HC to decide SIT chief Puri's fate,0.0
2004-02-10,India; France to talk turban ban,-0.5574
2004-02-11,Be the editor; pick your news,0.0
2004-02-12,SIT may quiz more politicians,0.0
2004-02-13,IAF earmarking bases for fresh Sukhoi-30 units,0.3182
2004-02-14,Joshi ko gussa kyun aata hai,0.0
2004-02-15,Tobacco advertising ban from May 1,-0.5574
2004-02-16,It's curtains for CAT,0.0
2004-02-17,SC seeks IIM balance sheets,0.0
2004-02-18,Cong; JMM flirt on poll eve,0.0
2004-02-19,Tax raids polled back,0.0
2004-02-20,Gandhi Virudh Gandhis,0.0
2004-02-21,Ageing MiG-21s; rookie pilots: A deadly combo,0.0
2004-02-22,Jehadis get big bucks for the bang,0.0
2004-02-23,Another youth thrown from train; dies,0.0
2004-02-24,God! What's happening; cries CJI,-0.2244
2004-02-25,SC seeks medical council's view on 'Soviet' doctors,0.0
2004-02-26,Agriculture mela aims at crop diversification,0.0
2004-02-27,Mayawati hints at going it alone,-0.25
2004-02-28,Now; Rajnath woos Muslims,0.0
2004-02-29,CPM keeps options of joining govt open,0.0
2004-03-01,Will Atal emulate Reagan; Blair?,0.0
2004-03-02,Europe tightens visa norms,0.0
2004-03-03,Sulabh technology can go global: UN,0.0
2004-03-04,BJP to field 50 pc new faces for LS polls,0.0
2004-03-05,BJP not to field film stars in polls,0.0
2004-03-06,Alvi's dilemma: new forum or old parties?,0.25
2004-03-07,Radha's Revenge on Lathmar Holi,-0.5267
2004-03-08,Protest against J&K Women's Bill swells,-0.25
2004-03-09,'Women can't be forced to drink',0.357
2004-03-10,BAE officials to meet Prasad,0.0
2004-03-11,Atal is Advani theme on first leg of yatra,0.0
2004-03-12,Holy town Rishikesh turns 'shuddh shakahari',0.0
2004-03-13,3/11 happened 911 days after 9/11,0.0
2004-03-14,Nafisa challenges Didi in Calcutta South,0.0772
2004-03-15,Cong denies hand in SMSs on cricket,0.1027
2004-03-16,Don't be a kill joy; Jaitley tells Ten boss,0.1695
2004-03-17,BJP; JD(U) agree on Bihar seats,0.3612
2004-03-18,How Sonia can do better,0.4404
2004-03-19,Disgusted; LJP to contest 12 seats in Bihar,-0.5267
2004-03-20,Cong manifesto crisper,0.0
2004-03-21,Mile sur mera tumhara?,0.0
2004-03-22,SP list to be out on Monday,0.0
2004-03-23,Migrants mix up poll math,0.0
2004-03-24,Son rise for Vasundhara; Jaswant,0.0
2004-03-25,Liberhan panel adjourns hearing till April 15,0.0
2004-03-26,Muslim scholars hope for Congress-SP pact,0.4404
2004-03-27,Priyanka a bigger draw: poll,0.0
2004-03-28,Hurriyat softens after Advani accepts terms,0.3182
2004-03-29,Row over Yesudas' demand for royalty hits a higher note,-0.128
2004-03-30,The Fernandes mystery,0.0
2004-03-31,Vajpayee to visit Santiniketan as CBI steps in,0.0
2004-04-01,India Today; HT express faith in NRS,0.4215
2004-04-02,Take 2 for Tambrams,0.0
2004-04-03,BJP-Cong mudfest likely to get dirtier,-0.34
2004-04-04,Star Wars: Where some win and some whine,-0.3182
2004-04-05,Rajasthan needs power; not hot air; Mr Advani,0.0
2004-04-06,Pak delegation to observe poll process,0.0
2004-04-07,BSP: Growing; grown,0.1779
2004-04-08,Rahul scores points for Cong,0.0
2004-04-09,Army's jungle school a global hit,0.0
2004-04-10,Ayodhya in manifesto not good enough for VHP,-0.3412
2004-04-11,EC reviews Assam poll situation,0.0
2004-04-12,Advani compares Congress to colonial Britishers,0.0
2004-04-13,Naga rebels won't boycott; resist election,0.0418
2004-04-14,Hi-tech plans for leak-proof tests,0.0
2004-04-15,A campaign natural; she charms Bareli,0.6597
2004-04-16,ICRA retains CIL rating,0.0
2004-04-17,Can't do with or without Fernandes,0.0
2004-04-18,Gandhi detergent washes away caste,0.0
2004-04-19,Enemy's enemy a friend for Raja,-0.0772
2004-04-20,Get ready for the big punch,0.3612
2004-04-21,DGCA acts; grounds Agni,0.0
2004-04-22,Candidates make a beeline for filing poll papers,0.0
2004-04-23,No child's play this; but govt looks away,0.0258
2004-04-24,Hurriyat talks: 3rd round in June,0.0
2004-04-25,Advani invites N-E militants for talks,0.0
2004-04-26,It's a crucial round; says Vajpayee,0.0
2004-04-27,Are poll jingles losing their fizz?,-0.3818
2004-04-28,Prez to host artistes on dance day,0.0
2004-04-29,Sonia is Communist mascot,0.0
2004-04-30,Central rule in Bihar if NDA is back: Venkaiah,0.0
2004-05-01,Deluge for Left in Paro's village,0.0
2004-05-02,Statutory warning: Voting can kill you,-0.7964
2004-05-03,Why should he feel ashamed?,-0.4767
2004-05-04,Will Madhepura see a repeat of Chhapra?,0.0
2004-05-05,Bijapur masjid Govt property; says SC,0.0
2004-05-06,SC to hear EC plea on Thursday,0.0
2004-05-07,India shining; but where have all the jobs gone?,0.0
2004-05-08,Country's borders to be fenced by 2006,0.0
2004-05-09,SDF has edge over Congress in Sikkim,0.0
2004-05-10,EC gets report on Chhapra; decision soon,0.0
2004-05-11,Below 250: Atal wants to declare; Advani bat on,0.0
2004-05-12,On Tech Day; Prez boards LCA,0.0
2004-05-13,Floor is wide open; who will last the tango?,0.0
2004-05-14,Did Vajpayee see it coming?,0.0
2004-05-15,The Sonia no one knows,-0.296
2004-05-16,DMK adopts wait and watch strategy,0.1779
2004-05-17,YSR offers olive branch to Naxals,0.0
2004-05-18,Govt battles to stem meltdown,-0.3818
2004-05-19,When sacrifice makes a lot of sense,0.0
2004-05-20,Now; Left wants to wash its hands of Mulayam,0.0
2004-05-21,SC stays probe order against James Laine,0.0
2004-05-22,Now; for the sworn song,0.0
2004-05-23,Flower power falls in Lok Sabha,0.0
2004-05-24,Non-stop negotiation; last-minute twists,0.0
2004-05-25,Stop talking of war with Pak: Manmohan,-0.7269
2004-05-26,Storm rising on bifurcation of rural ministry,0.0
2004-05-27,BJP prepares to join battle for Lalooland,-0.1027
2004-05-28,J&K welcomes Common Minimum Programme,0.4019
2004-05-29,New govt takes charge in Karnataka,0.0
2004-05-30,Arjun may play Murli's tune on IIMs,0.34
2004-05-31,Paswan says no to divestment,-0.296
2004-06-01,Indians in Saudi not specifically targeted,0.0
2004-06-02,KS 'n' Tell: Sex in Indian cities,0.0
2004-06-03,Babri was a well planned conspiracy,-0.3182
2004-06-04,DRDO theft: Burglars had inside information,0.0
2004-06-05,Foodgrain output dwindles,0.0
2004-06-06,Sonia in for a bumpy ride,0.0
2004-06-07,Mufti govt to revamp women's bill,0.0
2004-06-08,President's speech swings right back to privatisation,0.0
2004-06-09,Smooth transition from beta to neta,0.0
2004-06-10,Arunachal's saffron hope talks of roads and refugees,0.4404
2004-06-11,Antony bends; on a rollback binge,0.0
2004-06-12,Chaturvedi gets in; Kamal nipped,0.0
2004-06-13,Kosh-ish for funds a flop show,-0.34
2004-06-14,Modi's ministers are unlikely successors,0.2732
2004-06-15,Wannabe secretaries go through Manmohan scan,0.0
2004-06-16,Our Man in PMO: All work; no play,0.0516
2004-06-17,Babudom opens silk route; worms can go wild now,0.0
2004-06-18,Thane cops dispute Gujarat tale,-0.4019
2004-06-19,The D-company: Criminals in waiting,-0.5719
2004-06-20,Narasimha Rao's condition stable,0.296
2004-06-21,Kargil jawan's marriage sparks debate,0.0
2004-06-22,Nanavati panel to take another look at Godhra carnage,0.0
2004-06-23,India; Pak inch closer to solution on Baglihar,0.3182
2004-06-24,Reddy faces 'detox' campaign,0.0
2004-06-25,Mehbooba seeks economic package for J&K,0.0
2004-06-26,SC refuses to entertain plea by rapist's brother,0.3182
2004-06-27,Govt plays travel agent for Sonia,0.25
2004-06-28,Call girls go corporate,0.0
2004-06-29,Sex in a black suit and tie,0.0
2004-06-30,Elite girls give a sense of power,0.0
2004-07-01,'BJP governors' won't be allowed overtime,0.0
2004-07-02,Death penalty: India in minority,-0.7845
2004-07-03,Sonia takes a tour of Kumaon temples,0.0
2004-07-04,Branded: Torture in Punjab jails,-0.5994
2004-07-05,Premji; Irani in education advisory board,0.0
2004-07-06,Tribal body turns a 'new leaf' for trains,0.0
2004-07-07,PMO reacts to death of children,-0.5994
2004-07-08,Pande was forced to call President's rule,-0.4588
2004-07-09,BJP ministers; MLA arrested for trespass,-0.4767
2004-07-10,Education cess just about balances HRD books,0.0
2004-07-11,Bright is right: Segregation in IIT school,0.4404
2004-07-12,Paswan eyeing Dalit votebank,0.0
2004-07-13,SP's no to RS deputy chair,-0.296
2004-07-14,Are sick men leading India's forces?,-0.5106
2004-07-15,The IB chief who dined with militants,0.0
2004-07-16,SC reopens issue of admission quota,0.0
2004-07-17,CAG slams Naco for rise of AIDS,0.0
2004-07-18,Bharati orders probe into custody death,-0.5994
2004-07-19,All 6 Haryana BJP MLAs resign,-0.34
2004-07-20,CBI explains Pappu's visit,0.0
2004-07-21,No rainfall; ICAR sounds drought alarm,-0.5574
2004-07-22,SAT for IIT? Defend the nation,0.0
2004-07-23,Girl cadets percentage to be raised,0.0
2004-07-24,BSP likely to join hands with Cong,0.296
2004-07-25,Nawal Kishore Sharma sworn in as Gujarat Governor,0.0
2004-07-26,'It's course correction',0.0
2004-07-27,WHO: Must gear up against disasters,-0.5574
2004-07-28,High-and-dry come to Delhi,0.0
2004-07-29,Kalam decries syllabi change,0.0
2004-07-30,Key meet for states affected by Naxalites,-0.1531
2004-07-31,Preeti pax: Sex; lies & CCTV,-0.4215
2004-08-01,Tainted or not; Guruji travels 'mantri' style,0.0
2004-08-02,Excruciating wait for families of hostages,-0.6486
2004-08-03,Overconfidence; lethargy cost BJP dearly,0.1027
2004-08-04,Jaya; Digvijay; Gehlot learnt it the hard way,-0.1027
2004-08-05,CBI wants Amarmani back in jail,0.0
2004-08-06,Trade and farm unions downplay WTO deal,0.0
2004-08-07,Rabri gets a suit for Lalu; but will he pay?,-0.1531
2004-08-08,HRD reconstitutes minority panel,0.0
2004-08-09,India wants Ramlila on Unesco,0.0
2004-08-10,Released jawans not totally fit,-0.3241
2004-08-11,Uncle Sam's men cheat on Desis pros,-0.4588
2004-08-12,One minister; secys & no work,-0.296
2004-08-13,CEC slams media coverage of LS poll,0.0
2004-08-14,Antaryami's parents on indefinite hungerstrike,0.0
2004-08-15,Don't confuse porn with erotica,0.1695
2004-08-16,Australian tourist raped in Kashmir,-0.6808
2004-08-17,Malhotra; Pranab stand down to keep peace alive,0.7269
2004-08-18,Crude supplies are safe: Govt,-0.2023
2004-08-19,Poll panel gives CPI derecognition scare,-0.4939
2004-08-20,Outrage over move to change Kashmiri script,-0.5106
2004-08-21,Varsities won't need clearance for foreign tie-ups: Govt,0.0
2004-08-22,Post-Godhra; contradiction continues,-0.25
2004-08-23,India 'watching' neighbours,0.0
2004-08-24,Will BJP's gamble pay dividends?,-0.1027
2004-08-25,Bring Maoists into mainstream,0.0
2004-08-26,Despite campaign; condom sale drops,0.0
2004-08-27,Warrants against four Army witnesses,0.0
2004-08-28,US keeping a close watch on India's N-plans,0.0
2004-08-29,Better perks needed: CBI,0.4404
2004-08-30,Ad world comes calling for Raje,0.0
2004-08-31,Power & Glory Will Descend,0.5423
2004-09-01,Best case: Zaheera summoned,0.6369
2004-09-02,It's his re-birth; says Sukhdev's mother,0.0
2004-09-03,CCS talks N-E; Nepal; Pakistan,0.0
2004-09-04,UPA delivers a mixed bag,0.0
2004-09-05,DD tries to get CNN for DTH,0.0
2004-09-06,Ex-CMs for state-specific law as replacement,0.0
2004-09-07,No separate body to deal with J&K: PM,-0.296
2004-09-08,Cong-NCP reach agreement on seats,0.5106
2004-09-09,Uma's Tiranga yatra to take off on Sept 10,0.0
2004-09-10,Najma defies govt; clings on to ICCR post,0.0
2004-09-11,Plan panel not sure of meeting 8.1 pc growth,0.1625
2004-09-12,South Korea's Ayodhya connection,0.0
2004-09-13,Sex and the village: Cities no good,0.1779
2004-09-14,Sonia makes veiled attack on Mulayam govt,-0.4767
2004-09-15,Left; BJP took foreign help before Montek,0.4019
2004-09-16,Forged letter to Kalam rocks IAF,0.0
2004-09-17,Probe into Census row: Sonia,0.0
2004-09-18,Lalu ban gaya hero; man!,0.0
2004-09-19,Home alone? Don't worry; we're fine,-0.048
2004-09-20,V C Shukla may come back to Cong,0.0
2004-09-21,Fear grips students; classes suspended,-0.743
2004-09-22,AIDS alert! UP; Bihar vulnerable,0.1511
2004-09-23,States sow more than they can reap,0.0
2004-09-24,Maoists from Nepal attack bridge with Uttaranchal,-0.4767
2004-09-25,Basu bomb: Montek a World Bank man,-0.4939
2004-09-26,Centre invites Hurriyat for 'unconditional' talks,0.0
2004-09-27,Soon Village on Wheels,0.0
2004-09-28,Fiction or fact? Bapu's love for Mira,0.6369
2004-09-29,Are assurances meant to be broken?,-0.1779
2004-09-30,Jail party pooped: HC issues a notice to Pappu,0.4019
2004-10-01,Shakeel's moll in jail on abetment charge,0.0
2004-10-02,Centre draws the line over Tehelka probe,0.0
2004-10-03,Nobel panel agrees for a replica of Tagore's Nobel medallion,0.2023
2004-10-04,The monument's in-secure hands,0.0
2004-10-05,Just do it! IIM; IIT will help you,0.4574
2004-10-06,Telecast scams: CBI reopens three old cases,-0.5859
2004-10-07,I believe only in my surveys,0.0
2004-10-08,Insurance Cos move court over policy renewals,0.0
2004-10-09,Pappu Yadav case: SC pulls up CBI,0.0
2004-10-10,Air Deccan slashes its fares by 30 per cent,-0.2023
2004-10-11,How did Mehbooba get the bungalow?,0.0
2004-10-12,Ignou to reach remote areas through Edusat,0.0258
2004-10-13,Can Apang fend off Mithi challenge?,0.0772
2004-10-14,Exit polls divided; Maha mystery becomes enigma,0.0
2004-10-15,All eyes on rebel MLAs,-0.1531
2004-10-16,Winning over God for a victory,0.6705
2004-10-17,Gujarat by-polls: BJP springs a surprise,0.2732
2004-10-18,Attack India or perish: ISI tells Dawood,-0.4767
2004-10-19,'I'm very happy being agri minister',0.6115
2004-10-20,We were waiting for them,0.0
2004-10-21,Singh to meet commanders,0.0
2004-10-22,We said Vanakkam and Veerappan climbed in,0.0
2004-10-23,Tourism ministry to showcase gifts,0.0
2004-10-24,Vietnam angle to Maha Yudh tangle,0.0
2004-10-25,Sehwag kin abducted; ransom 1 cr,-0.5106
2004-10-26,Tiwari's Delhi visit fuels speculation,0.0
2004-10-27,Time for Tiwari to head for Raj Bhavan?,0.0
2004-10-28,Barnier non-committal on lifting turban ban,-0.5574
2004-10-29,Wife-beater ADC shunted out of Raj Bhavan,0.0
2004-10-30,Extracts from 'Age of Fear',-0.4939
2004-10-31,Advani makes minor repairs,0.0
2004-11-01,Chambal burning: Revenge; cries dacoit,-0.7269
2004-11-02,HC warns Rajasthan for flouting pollution norms,-0.1027
2004-11-03,Indian medicare or medicurse?,0.0
2004-11-04,India; China to play a new ball,0.34
2004-11-05,Day of surprises for sultans of Swing,0.2263
2004-11-06,Naidu delivers his 'powerpoint' reform mantra,0.0
2004-11-07,MP's yet to furnish details,0.0
2004-11-08,Relook at oil prices possible: PM,0.0
2004-11-09,DMK for rollback of prices,0.0
2004-11-10,Indian students in US still No. 1,-0.296
2004-11-11,It was a time-bomb ticking,0.0
2004-11-12,Mary Mary; she is quite contrary,0.0
2004-11-13,Junky's delight: Iodex sandwich,0.5994
2004-11-14,Centre puts intelligence agencies on alert,0.6486
2004-11-15,After 20 years; Bhopal still drinking poison,-0.5423
2004-11-16,Donor nations yet to loosen purse-strings,0.0
2004-11-17,IGNOU organises education workshop,0.0
2004-11-18,Pension scheme won't be an all-private affair,0.0
2004-11-19,Navy keen to get more Israeli Baraks,0.3612
2004-11-20,Shankaracharya asked the court: May I sit?,0.0
2004-11-21,Govt may restart Dabhol by '06,0.0
2004-11-22,Indebtedness on the rise in villages,0.0
2004-11-23,Wife-basher Pandey suspended; probe on,-0.4767
2004-11-24,Kanchi seer booked in another case,0.0
2004-11-25,Constitutional status for minority panel,0.0
2004-11-26,CAG lifts the lid: MP govt gave Sharmila Rs 2 lakh,0.0
2004-11-27,IAF may help US find WW-II fliers,0.4019
2004-11-28,Mukesh met FIs before board meet,0.0
2004-11-29,Give surrendered militants a chance,0.25
2004-11-30,Kashmir part of India: Mufti,0.0
2004-12-01,India marks World Aids Day,0.0
2004-12-02,Neo-natal death rate alarmingly high in India,-0.8176
2004-12-03,Condoms in Class VII school bags,0.0
2004-12-04,'Security Council can't be eroded',0.34
2004-12-05,Putin says he didn't veto the veto,0.0
